DC1 DC1 1000
DC1 DC6 480
DC1 DC9 260
DC1 DC11 420
DC1 DC20 240
DC2 DC2 1000
DC2 DC3 280
DC2 DC13 440
DC2 DC14 130
DC2 DC15 300
DC3 DC2 490
DC3 DC3 1000
DC3 DC8 160
DC3 DC9 340
DC3 DC20 440
DC4 DC4 1000
DC4 DC8 170
DC4 DC13 110
DC4 DC15 200
DC5 DC5 1000
DC5 DC7 290
DC5 DC13 500
DC6 DC1 350
DC6 DC6 1000
DC6 DC17 330
DC6 DC19 440
DC7 DC5 350
DC7 DC7 1000
DC7 DC13 470
DC7 DC18 190
DC7 DC20 170
DC8 DC3 270
DC8 DC4 280
DC8 DC8 1000
DC8 DC13 210
DC8 DC14 290
DC9 DC1 320
DC9 DC3 180
DC9 DC9 1000
DC9 DC19 60
DC10 DC10 1000
DC10 DC14 80
DC10 DC16 150
DC11 DC1 470
DC11 DC11 1000
DC11 DC17 170
DC11 DC19 70
DC12 DC12 1000
DC12 DC15 400
DC12 DC16 490
DC12 DC20 250
DC13 DC2 500
DC13 DC4 470
DC13 DC5 310
DC13 DC7 190
DC13 DC8 80
DC13 DC13 1000
DC13 DC18 270
DC14 DC2 310
DC14 DC8 200
DC14 DC10 110
DC14 DC14 1000
DC14 DC20 430
DC15 DC2 130
DC15 DC4 410
DC15 DC12 170
DC15 DC15 1000
DC15 DC18 390
DC15 DC20 350
DC16 DC10 220
DC16 DC12 220
DC16 DC16 1000
DC16 DC18 320
DC17 DC6 360
DC17 DC11 430
DC17 DC17 1000
DC17 DC18 470
DC17 DC20 390
DC18 DC7 250
DC18 DC13 230
DC18 DC15 470
DC18 DC16 420
DC18 DC17 50
DC18 DC18 1000
DC19 DC6 210
DC19 DC9 20
DC19 DC11 330
DC19 DC19 1000
DC20 DC1 150
DC20 DC3 230
DC20 DC7 170
DC20 DC12 70
DC20 DC14 100
DC20 DC15 390
DC20 DC17 100
DC20 DC20 1000
