DC1 DC1 1000
DC1 DC3 310
DC1 DC4 270
DC1 DC5 100
DC2 DC2 1000
DC2 DC7 230
DC2 DC8 440
DC2 DC10 80
DC2 DC11 380
DC3 DC1 140
DC3 DC3 1000
DC3 DC14 260
DC4 DC1 230
DC4 DC4 1000
DC4 DC10 150
DC4 DC14 220
DC4 DC15 350
DC5 DC1 460
DC5 DC5 1000
DC5 DC11 500
DC6 DC6 1000
DC6 DC9 470
DC6 DC11 380
DC6 DC13 500
DC7 DC2 260
DC7 DC7 1000
DC7 DC8 380
DC7 DC13 370
DC8 DC2 80
DC8 DC7 240
DC8 DC8 1000
DC9 DC6 70
DC9 DC9 1000
DC9 DC15 450
DC10 DC2 120
DC10 DC4 480
DC10 DC10 1000
DC10 DC11 140
DC10 DC12 150
DC10 DC13 420
DC11 DC2 30
DC11 DC5 50
DC11 DC6 120
DC11 DC10 200
DC11 DC11 1000
DC12 DC10 330
DC12 DC12 1000
DC13 DC6 480
DC13 DC7 80
DC13 DC10 240
DC13 DC13 1000
DC14 DC3 450
DC14 DC4 80
DC14 DC14 1000
DC15 DC4 140
DC15 DC9 100
DC15 DC15 1000
